Time,transforms
1647137340.849308,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 848819285
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00681237643584609
    y: -0.006188758183270693
    z: 0.020884953439235687
  rotation: 
    x: 0.0059183001697269135
    y: -0.009289150939522211
    z: 0.04712361409963804
    w: 0.9988283388010736]"
1647137340.8545163,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 854049076
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068090870045125484
    y: -0.0061841546557843685
    z: 0.020879259333014488
  rotation: 
    x: 0.0059185587199415335
    y: -0.009312417410035686
    z: 0.04714260276591186
    w: 0.9988272245734571]"
1647137340.8803885,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 879859559
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006792651489377022
    y: -0.006170858629047871
    z: 0.020872097462415695
  rotation: 
    x: 0.006077545800830513
    y: -0.009312450116600715
    z: 0.04719785683082675
    w: 0.9988236601224669]"
1647137340.8817658,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 881383772
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006804757751524448
    y: -0.006197158247232437
    z: 0.02089555375277996
  rotation: 
    x: 0.005960877535867473
    y: -0.00931224974628979
    z: 0.04715251563341303
    w: 0.9988265065631298]"
1647137340.8821862,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 881836329
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0067900693975389
    y: -0.006163952872157097
    z: 0.02086181938648224
  rotation: 
    x: 0.0060169485544746696
    y: -0.009202763175838211
    z: 0.04726211964442108
    w: 0.9988220049271735]"
1647137340.8929837,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 892578253
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006802260410040617
    y: -0.006186843384057283
    z: 0.02087382599711418
  rotation: 
    x: 0.005948238859479316
    y: -0.009370635963960284
    z: 0.04711912456236283
    w: 0.9988276116210334]"
1647137340.8944395,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 894027878
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006814091466367245
    y: -0.006191663909703493
    z: 0.020881008356809616
  rotation: 
    x: 0.0059758808000656555
    y: -0.009242817044648551
    z: 0.04710953047928673
    w: 0.9988290901449375]"
1647137340.9137273,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 913269250
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006801484618335962
    y: -0.006172116845846176
    z: 0.02086571231484413
  rotation: 
    x: 0.006038770120997206
    y: -0.00932935352311467
    z: 0.047098704005196154
    w: 0.9988284179473957]"
1647137340.9141064,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 913761847
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006800280883908272
    y: -0.006177330855280161
    z: 0.02087479829788208
  rotation: 
    x: 0.006085034381922096
    y: -0.009295842491284092
    z: 0.04715411304660366
    w: 0.9988258353145137]"
1647137340.9146793,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 914269447
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006801894400268793
    y: -0.006167074665427208
    z: 0.02088257111608982
  rotation: 
    x: 0.005971738162065111
    y: -0.009399333076408008
    z: 0.04712877814640988
    w: 0.9988267463136282]"
1647137340.921018,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 920547850
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006803718861192465
    y: -0.006182051729410887
    z: 0.02089286781847477
  rotation: 
    x: 0.005959644826605992
    y: -0.009281081943222575
    z: 0.047151609566380134
    w: 0.9988268467891738]"
1647137340.9301598,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 929829532
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00680035725235939
    y: -0.0061842305585742
    z: 0.020884836092591286
  rotation: 
    x: 0.005839522353070349
    y: -0.009308758948903475
    z: 0.047146118295153645
    w: 0.998827557947426]"
1647137340.9341636,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 933838532
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006800569593906403
    y: -0.006169676315039396
    z: 0.020861933007836342
  rotation: 
    x: 0.006028352910474816
    y: -0.009317659988580834
    z: 0.04713107009533909
    w: 0.9988270633123595]"
1647137340.9458854,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 945470141
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006793364882469177
    y: -0.006179053336381912
    z: 0.020872274413704872
  rotation: 
    x: 0.006095893988820624
    y: -0.009257563150057204
    z: 0.04719963547524939
    w: 0.9988239744879992]"
1647137340.9474514,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 947104241
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006811946630477905
    y: -0.0061978790909051895
    z: 0.02088051475584507
  rotation: 
    x: 0.005945267981673631
    y: -0.009293071760864833
    z: 0.04709933242136574
    w: 0.9988292874617439]"
